Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1,DFYVzL4vlB,Allison Poole,Dylan,Nielsen,Trevino-Sanchez,+1-262-758-6332x956,001-441-619-2198x2598,lmorrison@wagner.net,edwin35@gomez-proctor.com,https://www.west.com/,Chatbot,Closed Won,Thousand season impact drive.
2,zVAFdyYT8B,Mason Summers,Christie,Barrett,Rodgers-Campbell,001-398-637-7398x79252,737-829-2344x57641,gerald46@dodson-hester.com,ajordan@porter.com,http://www.zamora.com/,Trade Show,Contacted,Hospital represent available over down.
3,zVAFdyYT8B,Mason Summers,Christie,Barrett,Rodgers-Campbell,737-829-2344x57641,001-398-637-7398x79252,gerald46@dodson-hester.com,ajordan@porter.com,https://www.zamora.com/,Trade Show,Contacted,Sort cost power later crime responsibility.
4,lNjP6Y1V4d,Joann Hunter,Colton,Flowers,"Rivers, Freeman and Shannon",501-880-8352,(879)241-0269,baileypratt@hodges.com,gclark@mendez.net,https://www.finley.com/,Organic Search (SEO),Negotiation,Its although think own.
5,z5C4ht6jex,Krystal Chandler,Christine,Brady,Barber-Jones,581.656.5170,(427)938-1979x71938,marthachandler@clark.com,garycontreras@carlson.com,https://www.silva-fry.com/,Purchased List,Re-engagement,Traditional car television myself person ahead particular near.
6,DFYVzL4vlB,Allison Poole,Dylan,N.,Trevino-Sanchez,+1-262-758-6332x956,001-441-619-2198x2598,edwin35@gomez-proctor.com,lmorrison+sanchezfrank@wagner.net,https://www.west.com/,Chatbot,Closed Won,Thousand season impact drive.
7,Nlz83HvU7O,Jackson Key,Yvette,Morrison,Schwartz Inc,+1-726-296-1590,537-553-4148,solisbrenda@sharp-krueger.com,toni31@singleton.info,https://diaz.com/,Networking Event,New Lead,Series forward executive say.
8,zVAFdyYT8B,Mason Summers,Christie,Barrett,Rodgers-Campbell,737-829-2344x57641,001-398-637-7398x79252,gerald46@dodson-hester.com,ajordan@porter.com,http://www.zamora.com/,Trade Show,Contacted,Church since concern trial town under second.
9,FaAZr6JbIA,Kirk Salas,Robert,Gibbs,"Cameron, Huff and Cherry",+1-417-972-4214x0078,001-373-867-0606x58710,luke02@bentley.info,dshannon@rodgers.com,http://allen-fuller.com/,Google Ads,Closed Won,Down camera cut over new would.
10,zVAFdyYT8B,Mason Summers,Christie,B.,Rodgers-Campbell,001-398-637-7398x79252,737-829-2344x57641,ajordan@porter.com,gerald46@dodson-hester.com,http://www.zamora.com/,Trade Show,Contacted,Hospital represent available over down.
11,lNjP6Y1V4d,Joann Hunter,Colton,Flowers,"Rivers, Freeman and Shannon",(879)241-0269,501-880-8352,baileypratt+daltongrace@hodges.com,gclark@mendez.net,https://www.finley.com/,Organic Search (SEO),Negotiation,Issue stand pull day boy.
12,zVAFdyYT8B,Mason Summers,Christie,Barrett,Rodgers-Campbell,737-829-2344x57641,001-398-637-7398x79252,gerald46@dodson-hester.com,ajordan@porter.com,https://www.zamora.com/,Trade Show,Contacted,Actually on individual.
13,FaAZr6JbIA,Kirk Salas,Robert,Gibbs,"Cameron, Huff and Cherry",001-373-867-0606x58710,+1-417-972-4214x0078,luke02+fernandobrooks@bentley.info,dshannon@rodgers.com,https://allen-fuller.com/,Google Ads,Closed Won,Newspaper bar understand beat.
14,9NPB5vhY28,Stephen Wiley,Leslie,Spencer,Ortega PLC,714.468.8953,5574515246,carl63@giles.com,tashabarber@cantu.com,http://www.bray-frey.biz/,Cold Call,Re-engagement,Situation time human pressure order.
15,lNjP6Y1V4d,Joann Hunter,Colton,Flowers,"Rivers, Freeman and Shannon",(879)241-0269,501-880-8352,baileypratt@hodges.com,gclark@mendez.net,https://www.finley.com/,Organic Search (SEO),Negotiation,Trade conference meet sport clear help.
16,2xvUc0koQC,Robert Hines,Colton,Stewart,Lynn and Sons,+1-639-690-4878x609,+1-998-524-0919x15813,lacey87@acevedo-marshall.biz,uoneill@gordon-mendoza.com,https://humphrey-suarez.biz/,Facebook Ads,Disqualified,Up few number.
17,QA0PwszhfH,Ian Waters,Dennis,Hampton,Kane-Conley,(435)305-8219x0019,735-566-7693,cameronstuart@newman.com,dwall@chen.com,http://www.callahan.net/,Google Ads,Proposal Sent,Practice coach modern.
18,FMtkh8Icoa,Gregory Barron,Johnathan,Shea,"Dickerson, Bautista and Lewis",001-515-334-9677x2169,823-636-3609x3432,adrian16@rivas.com,qhopkins@suarez-mcbride.com,http://www.knox-murray.com/,Podcast,Proposal Sent,Great hold perhaps born amount relationship who.
19,MLGHHrXRU9,Tamara Bradford,Lauren,Boyle,Garner-Cortez,(666)495-4367,001-606-902-8703x510,lloydcassidy@strong-keith.info,nolanmeredith@houston.com,https://www.montoya.net/,Social Media,Closed Lost,Recently teacher seek mean meet.
20,z5C4ht6jex,Krystal Chandler,Christine,Brady,Barber-Jones,(427)938-1979x71938,581.656.5170,marthachandler@clark.com,garycontreras@carlson.com,http://www.silva-fry.com/,Purchased List,Re-engagement,Actually writer interesting son film such.
21,MLGHHrXRU9,Tamara Bradford,Lauren,Boyle,Garner-Cortez,001-606-902-8703x510,(666)495-4367,lloydcassidy+travisdixon@strong-keith.info,nolanmeredith@houston.com,http://www.montoya.net/,Social Media,Closed Lost,Fish never large worry support reduce.
22,3WfFaNOcvn,Lacey Evans,Hunter,Caldwell,"Conner, Mooney and Harmon",(602)623-3419,001-594-244-3571x505,andrewleon@blankenship.info,mckinneyjerry@mccall.com,https://www.neal.com/,Cold Call,New Lead,Store poor decade foot development night.
23,c3Rm9h1D3e,Mikayla Haynes,Dustin,Guerrero,"Shaw, Lopez and Pena",319.781.1970,(480)914-6264,natashadowns@schmitt.com,ronnieesparza@mcmahon.com,https://www.burch.com/,Retargeting Ads,Closed Lost,Create behavior left old section make build.
24,bubqGHxskp,Roberta Austin,Maria,Holmes,Alexander Inc,4317414259,+1-341-371-4744,forbesadrienne@rivers.net,schmittrickey@vega-nixon.info,https://barber.biz/,Webinars,New Lead,Young person chair rise.
25,9NPB5vhY28,Stephen Wiley,Leslie,S.,Ortega PLC,5574515246,714.468.8953,tashabarber@cantu.com,carl63@giles.com,http://www.bray-frey.biz/,Cold Call,Re-engagement,Situation time human pressure order.
